Protein,PName,PepCount,BL_BLUS_pval,BL_OGD_pval,OGD_OGDUS_pval,BL_OGD_FC,BL_BLUS_FC,OGD_OGDUS_FC,BL_Avg,BL_avg2,BL+US,OGD_avg,OGD_avg2,OGD+US
P5CR2_MOUSE,Pyrroline-5-carboxylate reductase 2; Short=P5C reductase 2; Short=P5CR 2; EC=1.5.1.2; Accession=Q922Q4; [Mus musculus (Mouse)],6,0.54,0.45,0.86,-0.21,-0.18,0.04,25.75,25.75,25.93,25.96,25.96,25.91
P5CR3_MOUSE,Pyrroline-5-carboxylate reductase 3; Short=P5C reductase 3; Short=P5CR 3; EC=1.5.1.2 {ECO:0000250|UniProtKB:Q53H96}; AltName: Full=Pyrroline-5-carboxylate reductase-like protein; Accession=Q9DCC4; Q8R0P9; Q9D0X2; [Mus musculus (Mouse)],2,0.75,0.49,0.20,-0.39,0.22,-0.31,23.11,23.11,22.89,23.50,23.50,23.81
P5CS_MOUSE,Delta-1-pyrroline-5-carboxylate synthase; Short=P5CS; AltName: Full=Aldehyde dehydrogenase family 18 member A1; Includes: Glutamate 5-kinase; Short=GK; EC=2.7.2.11 {ECO:0000250|UniProtKB:P54886}; AltName: Full=Gamma-glutamyl kinase; Includes: Gamma-glutam,16,0.61,0.16,0.91,0.32,0.09,-0.03,26.45,26.45,26.37,26.13,26.13,26.16
PA1B2_MOUSE,Platelet-activating factor acetylhydrolase IB subunit beta; EC=3.1.1.47; AltName: Full=PAF acetylhydrolase 30 kDa subunit; Short=PAF-AH 30 kDa subunit; AltName: Full=PAF-AH subunit beta; Short=PAFAH subunit beta; Accession=Q61206; Q6PKE6; Q7TNP3; [Mus mus,9,0.85,0.27,0.54,0.28,0.04,0.13,27.15,27.15,27.11,26.87,26.87,26.73
PA1B3_MOUSE,Platelet-activating factor acetylhydrolase IB subunit gamma; EC=3.1.1.47; AltName: Full=PAF acetylhydrolase 29 kDa subunit; Short=PAF-AH 29 kDa subunit; AltName: Full=PAF-AH subunit gamma; Short=PAFAH subunit gamma; Accession=Q61205; [Mus musculus (Mouse),2,0.87,0.54,0.54,0.14,-0.05,-0.15,26.13,26.13,26.18,25.99,25.99,26.14
PA24A_MOUSE,Cytosolic phospholipase A2; Short=cPLA2; AltName: Full=Phospholipase A2 group IVA; Includes: Phospholipase A2; EC=3.1.1.4; AltName: Full=Phosphatidylcholine 2-acylhydrolase; Includes: Lysophospholipase; EC=3.1.1.5; Accession=P47713; [Mus musculus (Mouse)],4,0.24,0.70,0.64,0.15,-0.29,-0.22,23.67,23.67,23.95,23.52,23.52,23.73
PA2G4_MOUSE,Proliferation-associated protein 2G4; AltName: Full=IRES-specific cellular trans-acting factor 45 kDa; Short=ITAF45; AltName: Full=Mpp1; AltName: Full=Proliferation-associated protein 1; AltName: Full=Protein p38-2G4; Accession=P50580; [Mus musculus (Mous,17,0.86,0.96,0.58,0.01,0.03,-0.12,27.61,27.61,27.58,27.60,27.60,27.72
PABP1_MOUSE,Polyadenylate-binding protein 1; Short=PABP-1; Short=Poly(A)-binding protein 1; Accession=P29341; Q99L36; [Mus musculus (Mouse)],20,0.36,0.57,0.62,0.13,0.11,0.18,28.15,28.15,28.03,28.02,28.02,27.83
PABP2_MOUSE,Polyadenylate-binding protein 2; Short=PABP-2; Short=Poly(A)-binding protein 2; AltName: Full=Nuclear poly(A)-binding protein 1; AltName: Full=Poly(A)-binding protein II; Short=PABII; AltName: Full=Polyadenylate-binding nuclear protein 1; Accession=Q8CCS6,4,0.34,0.75,0.99,-0.14,-0.39,0.00,25.78,25.78,26.17,25.92,25.92,25.93
PACN2_MOUSE,Protein kinase C and casein kinase substrate in neurons protein 2; AltName: Full=Syndapin-2; AltName: Full=Syndapin-II; Accession=Q9WVE8; [Mus musculus (Mouse)],13,0.40,0.09,0.05,0.36,0.29,-0.50,26.04,26.04,25.76,25.69,25.69,26.19
PACS1_MOUSE,Phosphofurin acidic cluster sorting protein 1; Short=PACS-1; Accession=Q8K212; Q6P5H8; [Mus musculus (Mouse)],5,0.80,0.98,0.36,-0.01,0.10,-0.42,22.95,22.95,22.85,22.96,22.96,23.37
PAF1_MOUSE,RNA polymerase II-associated factor 1 homolog; Accession=Q8K2T8; Q3UY97; Q9CS63; Q9JJ99; [Mus musculus (Mouse)],3,0.28,0.80,0.20,-0.08,-0.31,-0.39,22.60,22.60,22.91,22.68,22.68,23.07
PAG15_MOUSE,"Group XV phospholipase A2; EC=2.3.1.- {ECO:0000269|PubMed:11790796, ECO:0000269|PubMed:16106046, ECO:0000269|PubMed:16880524, ECO:0000269|PubMed:19017977, ECO:0000269|PubMed:20410020}; AltName: Full=1-O-acylceramide synthase {ECO:0000303|PubMed:11790796};",2,,0.78,,-0.16,,,,22.23,,22.40,,
PAIRB_MOUSE,Plasminogen activator inhibitor 1 RNA-binding protein; AltName: Full=PAI1 RNA-binding protein 1; Short=PAI-RBP1; AltName: Full=SERPINE1 mRNA-binding protein 1; Accession=Q9CY58; Q8BHS2; Q8BHU0; Q91WP3; Q9CSN0; Q9DBY6; [Mus musculus (Mouse)],32,0.55,0.65,0.38,0.06,-0.09,-0.15,29.01,29.01,29.09,28.95,28.95,29.09
PAK2_MOUSE,Serine/threonine-protein kinase PAK 2; EC=2.7.11.1; AltName: Full=Gamma-PAK; AltName: Full=p21-activated kinase 2; Short=PAK-2; Contains: PAK-2p27; Contains: PAK-2p34; Accession=Q8CIN4; [Mus musculus (Mouse)],18,0.74,0.63,0.92,0.09,0.04,-0.02,26.54,26.54,26.49,26.45,26.45,26.47
PAK3_MOUSE,Serine/threonine-protein kinase PAK 3; EC=2.7.11.1; AltName: Full=Beta-PAK; AltName: Full=CDC42/RAC effector kinase PAK-B; AltName: Full=p21-activated kinase 3; Short=PAK-3; Accession=Q61036; O88645; Q8K1R5; Q8K1R6; [Mus musculus (Mouse)],3,0.74,0.49,0.62,0.15,-0.05,-0.08,26.29,26.29,26.35,26.14,26.14,26.22
PALLD_MOUSE,Palladin; Accession=Q9ET54; A0JNZ3; Q69ZT7; Q6DFX7; Q9CWW1; [Mus musculus (Mouse)],15,0.52,0.61,0.99,0.13,-0.13,0.00,26.62,26.62,26.76,26.49,26.49,26.49
PALM_MOUSE,Paralemmin-1; AltName: Full=Paralemmin; Flags: Precursor; Accession=Q9Z0P4; Q9Z0P3; [Mus musculus (Mouse)],3,0.29,0.77,0.44,0.08,0.25,-0.24,25.10,25.10,24.86,25.02,25.02,25.27
PALMD_MOUSE,Palmdelphin; Accession=Q9JHU2; Q3TAG0; Q91X00; Q9D693; [Mus musculus (Mouse)],7,0.65,0.17,0.52,0.35,0.11,0.19,24.78,24.78,24.67,24.43,24.43,24.24
PAPS1_MOUSE,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1; Short=PAPS synthase 1; Short=PAPSS 1; AltName: Full=Sulfurylase kinase 1; Short=SK 1; Short=SK1; Includes: Sulfate adenylyltransferase; EC=2.7.7.4; AltName: Full=ATP-sulfurylase; AltName: Full,1,0.88,0.92,0.95,-0.09,0.18,-0.04,23.54,23.54,23.36,23.63,23.63,23.66
PARK7_MOUSE,Protein deglycase DJ-1 {ECO:0000250|UniProtKB:Q99497}; EC=3.1.2.- {ECO:0000250|UniProtKB:Q99497}; EC=3.5.1.- {ECO:0000250|UniProtKB:Q99497}; AltName: Full=Parkinson disease protein 7 homolog; Flags: Precursor; Accession=Q99LX0; O88306; Q3THB9; Q3U509; [Mu,26,0.52,0.19,0.37,0.13,0.09,-0.07,28.16,28.16,28.07,28.03,28.03,28.10
PARN_MOUSE,Poly(A)-specific ribonuclease PARN; EC=3.1.13.4; AltName: Full=Polyadenylate-specific ribonuclease; Accession=Q8VDG3; Q8C7N6; Q9DC46; [Mus musculus (Mouse)],1,0.01,0.24,0.69,-0.33,-0.55,0.33,23.34,23.34,23.89,23.67,23.67,23.34
PARP1_MOUSE,Poly [ADP-ribose] polymerase 1; Short=PARP-1; EC=2.4.2.30; AltName: Full=ADP-ribosyltransferase diphtheria toxin-like 1; Short=ARTD1; AltName: Full=NAD(+) ADP-ribosyltransferase 1; Short=ADPRT 1; AltName: Full=Poly[ADP-ribose] synthase 1; Short=msPARP; Ac,8,0.19,0.29,0.66,-0.35,-0.49,0.11,23.74,23.74,24.23,24.09,24.09,23.98
PARVA_MOUSE,Alpha-parvin; AltName: Full=Actopaxin; Accession=Q9EPC1; Q9JJ65; [Mus musculus (Mouse)],3,0.95,0.81,0.07,0.04,0.01,0.25,25.69,25.69,25.68,25.65,25.65,25.40
PAWR_MOUSE,PRKC apoptosis WT1 regulator protein; AltName: Full=Prostate apoptosis response 4 protein; Short=Par-4; Accession=Q925B0; Q0ZHI4; Q2HYJ1; [Mus musculus (Mouse)],13,0.98,0.91,0.88,-0.04,-0.01,-0.06,26.09,26.09,26.10,26.13,26.13,26.19
PAXI_MOUSE,Paxillin; Accession=Q8VI36; Q3TB62; Q3TZQ6; Q8VI37; [Mus musculus (Mouse)],8,0.93,0.22,0.94,0.21,0.02,-0.01,27.08,27.08,27.06,26.87,26.87,26.88
PBDC1_MOUSE,Protein PBDC1; AltName: Full=Polysaccharide biosynthesis domain-containing protein 1; Accession=Q9D0B6; B1AUP5; Q8C5Z2; Q9CVL0; [Mus musculus (Mouse)],1,0.92,0.96,0.48,-0.01,-0.04,0.20,23.33,23.33,23.38,23.35,23.35,23.15
PBIP1_MOUSE,Pre-B-cell leukemia transcription factor-interacting protein 1; AltName: Full=Hematopoietic PBX-interacting protein; Accession=Q3TVI8; Q3TD91; Q3TWL9; Q8R319; [Mus musculus (Mouse)],2,0.65,0.75,0.52,-1.07,0.53,1.77,22.47,22.47,21.94,23.54,23.54,21.77
PCBP1_MOUSE,Poly(rC)-binding protein 1; AltName: Full=Alpha-CP1; AltName: Full=Heterogeneous nuclear ribonucleoprotein E1; Short=hnRNP E1; Accession=P60335; [Mus musculus (Mouse)],19,0.25,0.79,0.17,0.04,-0.14,-0.22,29.55,29.55,29.68,29.51,29.51,29.72
PCBP2_MOUSE,Poly(rC)-binding protein 2; AltName: Full=Alpha-CP2; AltName: Full=CTBP; Short=CBP; AltName: Full=Putative heterogeneous nuclear ribonucleoprotein X; Short=hnRNP X; Accession=Q61990; Q61383; Q62042; [Mus musculus (Mouse)],14,0.25,0.05,0.99,0.42,0.12,0.00,28.54,28.54,28.42,28.12,28.12,28.12
PCBP3_MOUSE,Poly(rC)-binding protein 3; AltName: Full=Alpha-CP3; Accession=P57722; Q8BSB0; Q8C544; [Mus musculus (Mouse)],1,0.50,0.48,0.52,-0.14,-0.16,-0.11,28.84,28.84,29.00,28.98,28.98,29.09
PCCA_MOUSE,"Propionyl-CoA carboxylase alpha chain, mitochondrial; Short=PCCase subunit alpha; EC=6.4.1.3; AltName: Full=Propanoyl-CoA:carbon dioxide ligase subunit alpha; Flags: Precursor; Accession=Q91ZA3; Q80VU5; Q922N3; [Mus musculus (Mouse)]",4,0.21,0.34,0.51,0.25,0.27,-0.21,25.45,25.45,25.18,25.20,25.20,25.41
PCKGM_MOUSE,"Phosphoenolpyruvate carboxykinase [GTP], mitochondrial; Short=PEPCK-M; EC=4.1.1.32; Flags: Precursor; Accession=Q8BH04; Q8BMM9; Q91Z10; [Mus musculus (Mouse)]",19,0.50,0.16,0.21,0.32,0.13,-0.22,27.29,27.29,27.17,26.97,26.97,27.19
PCNA_MOUSE,Proliferating cell nuclear antigen; Short=PCNA; AltName: Full=Cyclin; Accession=P17918; [Mus musculus (Mouse)],4,0.65,0.56,0.88,-0.27,-0.24,-0.06,24.10,24.10,24.34,24.37,24.37,24.43
PCNP_MOUSE,PEST proteolytic signal-containing nuclear protein; Short=PCNP; Short=PEST-containing nuclear protein; Accession=Q6P8I4; [Mus musculus (Mouse)],7,0.96,0.47,0.50,0.28,-0.02,-0.29,24.11,24.11,24.13,23.83,23.83,24.12
PCP_MOUSE,Lysosomal Pro-X carboxypeptidase; EC=3.4.16.2; AltName: Full=Proline carboxypeptidase; AltName: Full=Prolylcarboxypeptidase; Short=PRCP; Flags: Precursor; Accession=Q7TMR0; Q3TLW3; Q3V302; Q8BKK3; Q8R0T8; Q9D049; [Mus musculus (Mouse)],3,0.67,0.60,0.21,0.37,-0.17,-0.84,24.65,24.65,24.82,24.27,24.27,25.11
PCY1A_MOUSE,Choline-phosphate cytidylyltransferase A; EC=2.7.7.15 {ECO:0000250|UniProtKB:P19836}; AltName: Full=CCT-alpha; AltName: Full=CTP:phosphocholine cytidylyltransferase A; Short=CCT A; Short=CT A; AltName: Full=Phosphorylcholine transferase A; Accession=P4958,10,0.93,1.00,0.67,0.00,0.03,0.10,24.72,24.72,24.69,24.72,24.72,24.61
PCY1B_MOUSE,Choline-phosphate cytidylyltransferase B; EC=2.7.7.15 {ECO:0000250|UniProtKB:P19836}; AltName: Full=CCT-beta; AltName: Full=CTP:phosphocholine cytidylyltransferase B; Short=CCT B; Short=CT B; AltName: Full=Phosphorylcholine transferase B; Accession=Q811Q9,2,0.96,0.79,0.63,0.06,-0.01,0.06,26.06,26.06,26.07,26.00,26.00,25.94
PCYOX_MOUSE,Prenylcysteine oxidase; EC=1.8.3.5; Flags: Precursor; Accession=Q9CQF9; Q3UHV6; Q69ZW0; Q8BZX1; [Mus musculus (Mouse)],5,0.46,0.61,0.51,0.09,-0.14,-0.13,26.28,26.28,26.43,26.19,26.19,26.32
PDC10_MOUSE,Programmed cell death protein 10; AltName: Full=TF-1 cell apoptosis-related protein 15; Accession=Q8VE70; Q9DAR3; Q9WV43; [Mus musculus (Mouse)],4,0.10,0.06,0.35,0.32,0.53,0.23,24.14,24.14,23.61,23.81,23.81,23.59
PDC6I_MOUSE,Programmed cell death 6-interacting protein; AltName: Full=ALG-2-interacting protein 1; AltName: Full=ALG-2-interacting protein X; AltName: Full=E2F1-inducible protein; AltName: Full=Eig2; Accession=Q9WU78; O88695; O89014; Q3TED2; Q8BSL8; Q8R0H5; Q99LR3; ,36,0.88,0.94,0.69,0.01,-0.02,-0.04,27.69,27.69,27.71,27.68,27.68,27.72
PDCD4_MOUSE,Programmed cell death protein 4; AltName: Full=Protein MA-3; AltName: Full=Topoisomerase-inhibitor suppressed protein; Accession=Q61823; P97296; Q3T9A9; [Mus musculus (Mouse)],3,0.63,0.36,0.32,-0.40,0.20,0.53,22.97,22.97,22.77,23.37,23.37,22.83
PDCD5_MOUSE,Programmed cell death protein 5; AltName: Full=TF-1 cell apoptosis-related protein 19; Short=Protein TFAR19; Accession=P56812; [Mus musculus (Mouse)],5,0.21,0.33,0.23,0.25,0.25,0.28,25.91,25.91,25.66,25.66,25.66,25.38
PDCL3_MOUSE,Phosducin-like protein 3; AltName: Full=Viral IAP-associated factor 1; Short=VIAF-1; Accession=Q8BVF2; Q3TH06; Q99JX2; Q9D0W3; [Mus musculus (Mouse)],2,,,0.55,,,0.59,,,,,23.29,22.70
PDE12_MOUSE,"2',5'-phosphodiesterase 12; Short=2'-PDE; Short=2-PDE; EC=3.1.4.-; AltName: Full=Mitochondrial deadenylase; EC=3.1.13.4; Flags: Precursor; Accession=Q3TIU4; Q3TTY4; Q6P2L5; Q8BKH8; Q8BTS8; Q8BUQ5; [Mus musculus (Mouse)]",2,0.80,0.21,0.90,0.71,-0.15,-0.08,23.21,23.21,23.36,22.51,22.51,22.58
PDE2A_MOUSE,"cGMP-dependent 3',5'-cyclic phosphodiesterase; EC=3.1.4.17; AltName: Full=Cyclic GMP-stimulated phosphodiesterase; Short=CGS-PDE; Short=cGSPDE; Accession=Q922S4; Q8K2U1; [Mus musculus (Mouse)]",6,0.36,0.47,0.72,0.35,0.36,-0.20,23.05,23.05,22.69,22.70,22.70,22.90
PDE4A_MOUSE,"cAMP-specific 3',5'-cyclic phosphodiesterase 4A; EC=3.1.4.53; Accession=O89084; Q8R078; Q9JHQ4; Q9QX48; Q9QX49; Q9QXI8; [Mus musculus (Mouse)]",1,0.47,0.87,,-0.04,0.18,,23.00,23.00,22.82,23.05,,
PDE9A_MOUSE,"High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A {ECO:0000305}; EC=3.1.4.35 {ECO:0000269|PubMed:9624145}; Accession=O70628; [Mus musculus (Mouse)]",1,,,0.18,,,0.78,,,,,24.41,23.64
PDIA1_MOUSE,Protein disulfide-isomerase; Short=PDI; EC=5.3.4.1; AltName: Full=Cellular thyroid hormone-binding protein; AltName: Full=Endoplasmic reticulum resident protein 59; Short=ER protein 59; Short=ERp59; AltName: Full=Prolyl 4-hydroxylase subunit beta; AltName,56,0.17,0.50,0.58,-0.11,-0.17,-0.09,31.42,31.42,31.58,31.53,31.53,31.62
PDIA3_MOUSE,Protein disulfide-isomerase A3; EC=5.3.4.1; AltName: Full=58 kDa glucose-regulated protein; AltName: Full=58 kDa microsomal protein; Short=p58; AltName: Full=Disulfide isomerase ER-60; AltName: Full=Endoplasmic reticulum resident protein 57; Short=ER prot,110,0.93,0.70,0.44,0.03,0.01,-0.05,31.23,31.23,31.22,31.20,31.20,31.25
PDIA4_MOUSE,Protein disulfide-isomerase A4; EC=5.3.4.1; AltName: Full=Endoplasmic reticulum resident protein 72; Short=ER protein 72; Short=ERp-72; Short=ERp72; Flags: Precursor; Accession=P08003; P15841; Q3TT79; Q3UJW0; Q6NXW4; Q8BMT8; [Mus musculus (Mouse)],43,0.88,0.53,0.79,0.09,-0.02,-0.04,28.87,28.87,28.89,28.77,28.77,28.81
PDIA5_MOUSE,Protein disulfide-isomerase A5; EC=5.3.4.1; AltName: Full=Protein disulfide isomerase-related protein; Flags: Precursor; Accession=Q921X9; [Mus musculus (Mouse)],22,0.50,0.83,0.98,0.02,-0.05,0.00,26.44,26.44,26.49,26.42,26.42,26.42
PDIA6_MOUSE,Protein disulfide-isomerase A6; EC=5.3.4.1; AltName: Full=Thioredoxin domain-containing protein 7; Flags: Precursor; Accession=Q922R8; Q8BK54; [Mus musculus (Mouse)],32,0.94,0.47,0.91,-0.12,0.01,0.02,30.13,30.13,30.12,30.25,30.25,30.23
PDIP2_MOUSE,Polymerase delta-interacting protein 2; Accession=Q91VA6; [Mus musculus (Mouse)],2,0.48,0.12,0.40,0.37,0.14,-0.16,24.06,24.06,23.92,23.69,23.69,23.84
PDIP3_MOUSE,Polymerase delta-interacting protein 3; AltName: Full=S6K1 Aly/REF-like target; Short=SKAR; Accession=Q8BG81; B2FDB4; Q6PE83; Q80X99; Q8CI28; [Mus musculus (Mouse)],2,0.90,0.56,0.81,-0.30,0.05,0.13,22.86,22.86,22.81,23.16,23.16,23.03
PDLI1_MOUSE,PDZ and LIM domain protein 1; AltName: Full=C-terminal LIM domain protein 1; AltName: Full=Elfin; AltName: Full=LIM domain protein CLP-36; Accession=O70400; Q99K93; [Mus musculus (Mouse)],18,0.88,0.34,0.91,0.16,0.02,-0.02,28.93,28.93,28.90,28.77,28.77,28.78
PDLI5_MOUSE,PDZ and LIM domain protein 5; AltName: Full=Enigma homolog; AltName: Full=Enigma-like PDZ and LIM domains protein; Accession=Q8CI51; Q3UGD0; Q9QYN0; Q9QYN1; Q9QYN2; [Mus musculus (Mouse)],33,0.99,0.60,0.77,0.10,0.00,-0.05,28.06,28.06,28.07,27.96,27.96,28.01
PDLI7_MOUSE,PDZ and LIM domain protein 7; AltName: Full=LIM mineralization protein; Short=LMP; AltName: Full=Protein enigma; Accession=Q3TJD7; Q80ZY6; Q810S3; Q8C1S4; Q9CRA1; [Mus musculus (Mouse)],15,0.04,0.71,0.67,-0.07,-0.29,-0.09,27.15,27.15,27.43,27.22,27.22,27.30
PDS5A_MOUSE,Sister chromatid cohesion protein PDS5 homolog A; Accession=Q6A026; E9Q656; [Mus musculus (Mouse)],3,0.99,0.35,0.66,-0.41,0.01,0.18,23.07,23.07,23.07,23.48,23.48,23.30
PDXD1_MOUSE,Pyridoxal-dependent decarboxylase domain-containing protein 1; EC=4.1.1.-; Accession=Q99K01; Q3TCL3; Q3TN13; Q8BMK9; Q8BW02; Q8BW51; Q8BZZ4; Q9DC25; [Mus musculus (Mouse)],8,0.79,0.11,0.57,0.57,0.10,-0.20,24.40,24.40,24.30,23.84,23.84,24.04
PEA15_MOUSE,Astrocytic phosphoprotein PEA-15; AltName: Full=15 kDa phosphoprotein enriched in astrocytes; Accession=Q62048; Q3U5N7; [Mus musculus (Mouse)],10,0.62,0.11,0.66,0.30,0.08,-0.06,28.44,28.44,28.35,28.14,28.14,28.20
PEAK1_MOUSE,Pseudopodium-enriched atypical kinase 1; EC=2.7.10.2; AltName: Full=Sugen kinase 269; AltName: Full=Tyrosine-protein kinase SgK269; Accession=Q69Z38; E9QKY2; Q8BX56; Q8R365; [Mus musculus (Mouse)],13,0.76,0.44,0.96,0.14,0.04,0.01,23.86,23.86,23.82,23.72,23.72,23.72
PEBB_MOUSE,Core-binding factor subunit beta; Short=CBF-beta; AltName: Full=Polyomavirus enhancer-binding protein 2 beta subunit; Short=PEA2-beta; Short=PEBP2-beta; AltName: Full=SL3-3 enhancer factor 1 subunit beta; AltName: Full=SL3/AKV core-binding factor beta sub,2,0.42,0.63,0.58,0.35,0.59,0.19,25.02,25.02,24.42,24.67,24.67,24.48
PEBP1_MOUSE,Phosphatidylethanolamine-binding protein 1; Short=PEBP-1; AltName: Full=HCNPpp; Contains: Hippocampal cholinergic neurostimulating peptide; Short=HCNP; Accession=P70296; Q9D8G9; Q9JJ58; [Mus musculus (Mouse)],2,0.40,0.29,0.07,0.38,0.27,0.67,25.86,25.86,25.59,25.48,25.48,24.81
PECA1_MOUSE,Platelet endothelial cell adhesion molecule; Short=PECAM-1; AltName: CD_antigen=CD31; Flags: Precursor; Accession=Q08481; B1ARB1; B1ARB2; Q3TES6; Q922E0; [Mus musculus (Mouse)],5,0.92,0.42,0.67,-0.20,0.02,0.08,25.64,25.64,25.62,25.84,25.84,25.76
PEF1_MOUSE,Peflin; AltName: Full=PEF protein with a long N-terminal hydrophobic domain; AltName: Full=Penta-EF hand domain-containing protein 1; Accession=Q8BFY6; Q8VCT5; Q9CYW8; Q9D934; [Mus musculus (Mouse)],2,0.01,0.42,0.93,-0.31,-0.71,-0.03,23.52,23.52,24.23,23.83,23.83,23.86
PELO_MOUSE,Protein pelota homolog; EC=3.1.-.-; Accession=Q80X73; Q3TCN0; Q6PG91; Q91UZ2; [Mus musculus (Mouse)],2,0.97,0.41,0.46,0.29,-0.01,-0.26,23.13,23.13,23.14,22.84,22.84,23.10
PELP1_MOUSE,"Proline-, glutamic acid- and leucine-rich protein 1; AltName: Full=Modulator of non-genomic activity of estrogen receptor; Accession=Q9DBD5; Q5F2E2; Q6PEM0; Q91YM9; [Mus musculus (Mouse)]",1,0.94,0.30,0.34,0.63,-0.02,-0.63,23.04,23.04,23.06,22.41,22.41,23.03
PEPL_MOUSE,Periplakin; Accession=Q9R269; O70231; Q9CUT1; Q9JLZ7; [Mus musculus (Mouse)],3,0.13,,,,-0.79,,21.30,,22.10,,,
PEPL1_MOUSE,Probable aminopeptidase NPEPL1; EC=3.4.11.-; AltName: Full=Aminopeptidase-like 1; Accession=Q6NSR8; A2ACM6; Q66JY0; [Mus musculus (Mouse)],1,0.97,0.01,0.09,-0.64,0.01,0.82,24.61,24.61,24.61,25.25,25.25,24.44
PERI_MOUSE,Peripherin; Accession=P15331; O35688; O35689; [Mus musculus (Mouse)],10,0.86,0.80,0.89,0.05,-0.03,0.03,32.36,32.36,32.39,32.31,32.31,32.28
PERQ2_MOUSE,PERQ amino acid-rich with GYF domain-containing protein 2; AltName: Full=GRB10-interacting GYF protein 2; AltName: Full=Trinucleotide repeat-containing gene 15 protein; Accession=Q6Y7W8; Q0VGQ7; Q3UNS2; Q63ZU9; Q80TV1; Q8K0R0; Q8R0A3; [Mus musculus (Mouse,4,0.06,0.12,0.89,-0.41,-0.55,0.03,24.16,24.16,24.71,24.57,24.57,24.54
PESC_MOUSE,Pescadillo homolog {ECO:0000255|HAMAP-Rule:MF_03028}; Accession=Q9EQ61; Q542F0; [Mus musculus (Mouse)],2,0.44,,,,-0.60,,22.33,,22.92,,,
PEX14_MOUSE,Peroxisomal membrane protein PEX14; AltName: Full=PTS1 receptor-docking protein; AltName: Full=Peroxin-14; AltName: Full=Peroxisomal membrane anchor protein PEX14; Accession=Q9R0A0; [Mus musculus (Mouse)],3,0.42,0.19,0.22,0.71,0.37,-0.74,25.38,25.38,25.01,24.67,24.67,25.40
PEX19_MOUSE,Peroxisomal biogenesis factor 19; AltName: Full=Peroxin-19; AltName: Full=Peroxisomal farnesylated protein; Short=PxF; Flags: Precursor; Accession=Q8VCI5; Q4FJU7; Q8CEE1; Q921H0; Q9CZC1; Q9QUQ1; [Mus musculus (Mouse)],2,0.60,0.06,0.86,0.91,0.12,-0.11,24.13,24.13,24.01,23.21,23.21,23.32
PFD1_MOUSE,Prefoldin subunit 1; Accession=Q9CWM4; [Mus musculus (Mouse)],10,0.45,0.16,0.48,0.34,0.13,-0.17,26.20,26.20,26.07,25.86,25.86,26.03
PFD2_MOUSE,Prefoldin subunit 2; Accession=O70591; Q8R0H2; [Mus musculus (Mouse)],5,0.96,0.51,0.21,-0.13,-0.01,-0.27,25.49,25.49,25.50,25.62,25.62,25.89
PFD5_MOUSE,Prefoldin subunit 5; AltName: Full=C-Myc-binding protein Mm-1; AltName: Full=EIG-1; AltName: Full=Myc modulator 1; Accession=Q9WU28; Q3UKS8; Q9JMJ8; [Mus musculus (Mouse)],1,0.53,0.63,0.56,-0.24,-0.27,-0.25,23.72,23.72,24.00,23.97,23.97,24.21
PFD6_MOUSE,Prefoldin subunit 6; AltName: Full=Protein Ke2; Accession=Q03958; [Mus musculus (Mouse)],5,0.74,0.99,0.06,0.00,0.12,-0.82,21.99,21.99,21.88,21.99,21.99,22.81
PFKAL_MOUSE,"ATP-dependent 6-phosphofructokinase, liver type {ECO:0000255|HAMAP-Rule:MF_03184}; Short=ATP-PFK {ECO:0000255|HAMAP-Rule:MF_03184}; Short=PFK-L; EC=2.7.1.11 {ECO:0000255|HAMAP-Rule:MF_03184}; AltName: Full=6-phosphofructokinase type B; AltName: Full=Phosp",8,0.38,0.98,0.58,0.01,-0.14,0.13,26.08,26.08,26.22,26.08,26.08,25.95
PFKAM_MOUSE,"ATP-dependent 6-phosphofructokinase, muscle type {ECO:0000255|HAMAP-Rule:MF_03184}; Short=ATP-PFK {ECO:0000255|HAMAP-Rule:MF_03184}; Short=PFK-M; EC=2.7.1.11 {ECO:0000255|HAMAP-Rule:MF_03184}; AltName: Full=6-phosphofructokinase type A; AltName: Full=Phos",8,0.52,0.68,0.97,0.10,-0.16,-0.01,23.74,23.74,23.90,23.64,23.64,23.65
PFKAP_MOUSE,"ATP-dependent 6-phosphofructokinase, platelet type {ECO:0000255|HAMAP-Rule:MF_03184}; Short=ATP-PFK {ECO:0000255|HAMAP-Rule:MF_03184}; Short=PFK-P; EC=2.7.1.11 {ECO:0000255|HAMAP-Rule:MF_03184}; AltName: Full=6-phosphofructokinase type C; AltName: Full=Ph",9,0.34,0.71,0.57,-0.10,-0.20,0.21,24.93,24.93,25.13,25.03,25.03,24.82
PGAM1_MOUSE,Phosphoglycerate mutase 1; EC=3.1.3.13; EC=5.4.2.11; EC=5.4.2.4; AltName: Full=BPG-dependent PGAM 1; AltName: Full=Phosphoglycerate mutase isozyme B; Short=PGAM-B; Accession=Q9DBJ1; Q9D6W0; Q9ERT3; [Mus musculus (Mouse)],11,0.60,0.90,0.73,-0.03,-0.10,-0.09,27.33,27.33,27.43,27.36,27.36,27.45
